,x0,y0
1,443,526
2,403,121
3,141,415
4,417,404
5,219,143
6,261,383
7,493,365
8,498,435
9,486,435
10,476,116
11,246,486
12,358,238
13,309,462
14,254,361
15,384,274
16,327,450
17,450,390
18,463,282
19,166,128
20,254,363
21,237,171
22,401,468
23,438,176
24,274,524
25,295,329
26,317,211
27,515,252
28,495,494
29,481,409
30,403,461
31,214,337
32,210,330
33,267,474
34,419,517
35,372,224
36,200,215
37,521,319
38,107,165
39,425,420
40,522,139
41,421,438
42,430,370
43,285,502
44,313,331
45,312,169
46,333,135
47,395,139
48,265,519
49,410,123
50,243,247
51,410,239
52,361,528
53,549,373
54,377,134
55,129,150
56,322,211
57,277,199
58,230,255
59,325,335
60,293,354
61,330,309
62,284,199
63,336,257
64,503,308
65,350,334
66,422,177
67,463,425
68,226,404
69,109,131
70,105,511
71,233,461
72,308,348
73,257,475
74,254,203
75,530,461
76,177,472
77,198,166
78,484,493
79,405,415
80,510,517
81,126,148
82,271,172
83,416,263
84,117,523
85,468,485
86,208,489
87,394,538
88,284,536
89,424,142
90,250,405
91,440,238
92,352,343
93,528,356
94,540,404
95,100,375
96,338,484
97,311,532
98,461,519
99,279,419
100,182,500
